"SSN","LastName","FirstName","Umuic","Truic","PayGrade","Annual Certification Date","Blood Type","Physical Date","Imr Status"
"0001","QUEBEC","ROMEO","--","11175 ","E2 ","--","OPOS ","--","Fully Medically Ready"
"0002","SIERRA","TANGO","11175 ","11175 ","E6 ","--","ONEG ","--","Fully Medically Ready"
"0003","UNIFORM","VICTOR","11175 ","11175 ","E9 ","25 Feb 2005","OPOS ","25 Feb 2005","Fully Medically Ready"
"0004","WHISKEY","X-RAY","11175 ","11175 ","E7 ","02 Dec 2004","BPOS ","09 Dec 2005","Fully Medically Ready"
"0005","YANKEE","ZULU","11175 ","11175 ","E6 ","14 May 2005","APOS ","10 Apr 2003","Fully Medically Ready"
"0006","BRAVO","ALPHA","11175 ","11175 ","E6 ","24 Sep 2005","OPOS ","12 Apr 2004","Fully Medically Ready"
"0007","DELTA","CHARLIE","11175 ","11175 ","E7 ","12 Jun 2004","OPOS ","14 May 2005","Fully Medically Ready"
"0008","FOXTROT","ECHO","11175 ","11175 ","E5 ","24 Sep 2005","APOS ","25 Jul 2003","Partially Medically Ready"
"0009","HOTEL","GOLF","888888 ","11175 ","E6 ","--","OPOS ","--","Partially Medically Ready"
"0010","JULIET","INDIA","--","11175 ","E5 ","--","OPOS ","--","Fully Medically Ready"
"0011","LIMA","KILO","11175 ","11175 ","E5 ","--","OPOS ","--","Fully Medically Ready"
"0012","INDIA","JULIET","11175 ","11175 ","O3 ","12 Apr 2008","BPOS ","12 Apr 2008","Fully Medically Ready"
"0013","NOVEMBER","MIKE","11175 ","11175 ","E6 ","16 Jul 2005","BPOS ","15 Nov 2000","Fully Medically Ready"
"0014","PAPA","OSCAR","11175 ","11175 ","E6 ","--","OPOS ","--","Fully Medically Ready"
"0015","OSCAR","PAPA","--","11175 ","O2 ","--","APOS ","--","Fully Medically Ready"
"0016","ALPHA","BRAVO","11175 ","11175 ","O4 ","05 Nov 2005","APOS ","05 Nov 2005","Fully Medically Ready"
"0017","ROMEO","QUEBEC","--","11175 ","E3 ","--","BPOS ","--","Partially Medically Ready"
"0018","TANGO","SIERRA","11175 ","11175 ","E6 ","13 Feb 2005","OPOS ","03 May 2003","Fully Medically Ready"
"0019","VICTOR","UNIFORM","11175 ","11175 ","E8 ","15 Aug 2004","APOS ","15 Oct 2005","Medical Readiness Indeterminate"
"0020","X-RAY","WHISKEY","11175 ","11175 ","E6 ","--","APOS ","13 Jul 2001","Fully Medically Ready"
"0021","ZULU","YANKEE","11175 ","11175 ","E6 ","--","OPOS ","--","Not Medically Ready"
"0022","COP","ROBOT","11175 ","11175 ","E4 ","--","OPOS ","--","Fully Medically Ready"
"0023","HART","COREY","11175 ","11175 ","E8 ","--","OPOS ","02 Dec 2000","Fully Medically Ready"
"0024","KILO","LIMA","11175 ","11175 ","O3 ","20 Aug 2005","APOS ","18 Mar 2003","Not Medically Ready"
"0025","CHARLIE","DELTA","11175 ","11175 ","O2 ","--","BPOS ","--","Fully Medically Ready"
"0026","ECHO","FOXTROT","11175 ","11175 ","O4 ","12 Mar 2005","OPOS ","13 Mar 2004","Not Medically Ready"
"0027","MIKE","NOVEMBER","11175 ","11175 ","O2 ","--","OPOS ","--","Fully Medically Ready"
"0028","WALKEN","CHRISTOPHER","11175 ","11175 ","E7 ","--","ANEG ","--","Partially Medically Ready"
"0029","RADCLIFF","DANIEL","11175 ","11175 ","E5 ","--","OPOS ","--","Not Medically Ready"
"0030","RIKER","WILLIAM","888888 ","11175 ","E3 ","--","OPOS ","--","Medical Readiness Indeterminate"
"0031","GOLF","HOTEL","11175 ","11175 ","O5 ","10 Jul 2005","BPOS ","01 Jun 2002","Fully Medically Ready"
"0032","SPRINGER","JERRY","--","11175 ","E4 ","--","OPOS ","12 Jun 2013","Partially Medically Ready"
